ID,Q1,A1,T1,Q2,A2,T2,Q3,A3,T3,Q4,A4,T4,Q5,A5,T5
150,誰為所多瑪代求，求神若見五十義人就饒恕？,亞伯拉罕,創世記18:23-26,保羅在雅典看見“未識之神”的壇，那城是？,雅典,使徒行傳17:23,「耶穌升天的事件記在哪一卷書？,使徒行傳,使徒行傳1:9-11,挪亞鴿子衔回、證明地已乾的葉子來自什麼樹？,橄欖,創世記 8:11,彼得第二次講道後，有多少人信了？,5000,使徒行傳 4:4
151,誰聽從底波拉指示，率軍擊敗迦南將軍西西拉？,巴拉,士師記4:6-16,彼得在約帕時，哥尼流的使者來找他，那城是？,約帕,使徒行傳10:5-8,「基甸用三百人擊敗米甸大軍。」出自哪一卷書？,士師記,士師記7:22,以撒娶利百加時，僕人送她什麼鼻飾？,環子,創世記 24:22,初代教會選出幾位執事？,7,使徒行傳 6:3
152,誰擊殺亞瑪力人，為掃羅報仇？,大衛,撒母耳記下1:1,耶穌在哪座城被稱為“大衛的子孫”而得醫治？,耶利哥,馬太福音20:30-34,「信心若沒有行為就是死的。」出自哪一卷書？,雅各書,雅各書2:17,耶穌騎驢進耶路撒冷時，百姓鋪在路上的是什麼？,棕樹枝,約翰福音 12:13,保羅在以弗所，有幾位門徒受了聖靈？,12,使徒行傳 19:7
153,誰是耶西的父親，大衛的祖父？,俄備得,路得記4:21,亞伯拉罕進入迦南後，first築壇的地方是哪？,示劍,創世記12:6-7,「復活在我，生命也在我」，信我的人雖然死了，也必怎樣？,復活,約翰福音11:25,基甸用來測試神旨意、吸了露水的物體叫什麼？,羊毛,士師記 6:37,保羅的門徒奉主的名受洗，共幾次？,1,使徒行傳 19:5
154,誰用機弦甩石擊殺非利士巨人歌利亞？,大衛,撒母耳記上17:49,但以理和三友被擄到哪座京城？,巴比倫,但以理書1:1-6,「耶穌說：『你施捨的時候，不要叫左手知道右手所做的。』」出自哪一卷福音書？,馬太福音,馬太福音6:3,耶穌用什麼醫治耳聾舌結的人？,唾沫,馬可福音 7:33,腓利有幾個女兒是說預言的？,4,使徒行傳 21:9
155,誰在耶路撒冷作王四十年，統一南北以色列？,大衛,撒母耳記下5:4-5,加利利海的另一個名字是什麼？,提比哩亞海,約翰福音6:1,「我們都如羊走迷，各人偏行己路。」出自哪一卷書？,以賽亞書,以賽亞書53:6,启示录中，第一印揭開時，騎白馬者手中拿著什麼？,弓,啟示錄 6:2,耶穌說，那撒瑪利亞婦人有幾個丈夫？,5,約翰福音 4:18
156,誰想為神建造聖殿，卻被神指派兒子完成？,大衛,撒母耳記下7:1-17,保羅在腓立比遇見賣紫色布匹的婦人，那城在哪？,腓立比,使徒行傳16:13-15,「我心裡柔和謙卑，你們當負我的軛。」出自哪一卷福音書？,馬太福音,馬太福音11:29,東方博士跟隨的星體叫什麼？,星,馬太福音 2:2,耶穌在畢士大池醫治癱子，那人病了幾年？,38,約翰福音 5:5
157,誰與基遍人立和約，因他們用詭計騙以色列人？,約書亞,約書亞記9:15,耶穌在哪座城教導“兩個欠債的人”？,耶路撒冷,路加福音7:41,「啟示錄最後的祝福是什麼？」,主必來,啟示錄22:20,启示录中，生命水的河從神寶座流出，河邊有什麼樹？,生命樹,啟示錄 22:2,耶穌在伯賽大醫治瞎子，共按手幾次？,2,馬可福音 8:23–25
158,誰為兒子禁食七天，兒子死後卻起來吃飯？,大衛,撒母耳記下12:20,耶穌在去哪座城的路上講“好撒瑪利亞人”的比喻？,耶路撒冷,路加福音10:30,「財主與拉撒路」的比喻記在哪一卷福音書？,路加福音,路加福音16:19-31,上帝吩咐挪亞用什麼木造方舟？,歌斐木,創世記 6:14,挪亞一家進方舟時，共有幾人？,8,創世記 7:13
159,誰在出生前，神就對他母親說：「他必作先知」？,耶利米,耶利米書1:5,路得和拿俄米回到哪座猶大城？,伯利恆,路得記1:19,「耶穌說：『你禱告的時候，要進你的內屋。』」出自哪一卷福音書？,馬太福音,馬太福音6:6,她腳下所踏的夜間光體是什麼？,月亮,啟示錄 12:1,耶穌在好撒瑪利亞人比喻中，強盜打傷那人後，有幾位祭司和利未人經過？,2,路加福音 10:31–32
160,誰在魚腹中禱告三天三夜，後來被吐在岸上？,約拿,約拿書1:17,保羅在哪座城被囚，因趕出巫鬼而遭棍打？,腓立比,使徒行傳16:16-24,「所以，你們要去」的下一句是？,使萬民作門徒,馬太福音28:19,挪亞為拯救全家所造的巨大船隻叫什麼？,方舟,創世記 6:14,耶穌在好撒瑪利亞人比喻中，撒瑪利亞人是第幾位經過的人？,3,路加福音 10:33
161,誰舉起杖，使紅海的水分開？,摩西,出埃及記14:21,耶穌在哪座城被釘十字架、埋葬、復活？,耶路撒冷,馬太福音27–28,「耶穌說：『人為朋友捨命，人的愛心沒有比這個大的。』」出自哪一卷福音書？,約翰福音,約翰福音15:13,不義的管家為自己預備將來，所更改的債務記錄叫什麼？,契據,路加福音 16:6,耶穌在無花果樹旁，樹上有幾年沒有果子？,3,路加福音 13:7
162,誰是亞勒腓的兒子，十二使徒之一？,小雅各,馬可福音3:18,大衛在哪座山逃避押沙龍時哭泣？,橄欖山,撒母耳記下15:30,「以斯帖冒死見王，拯救猶太人。」出自哪一卷書？,以斯帖記,以斯帖記4:16,約瑟被兄長們剝去的彩衣叫什麼？,彩衣,創世記 37:3,在童女比喻中，共有幾位？,10,馬太福音 25:1
163,誰是亞哈隨魯王的太監，向王舉薦以斯帖？,希該,以斯帖記2:8-9,耶穌在哪座城附近的伯大尼使拉撒路復活？,耶路撒冷,約翰福音11:18,「復活在我，生命也在我。」出自哪一卷書？,約翰福音,約翰福音11:25,挪亞放出試探水勢的黑色鳥類是什麼？,烏鴉,創世記 8:7,耶穌在十個童女比喻中，其中幾位聰明？,5,馬太福音 25:2
164,誰是亞伯拉罕最老的僕人，為以撒尋妻？,以利以謝,創世記15:2,耶穌在哪座山為耶路撒冷哀哭？,橄欖山,路加福音19:41,「啟示錄提到生命水的河。」出自哪一卷書？,啟示錄,啟示錄22:1,启示录中，二十四位長老俯伏敬拜時，把什麼放在寶座前？,冠冕,啟示錄 4:10,耶穌在十個童女比喻中，幾位愚拙？,5,馬太福音 25:2
165,誰治理以色列二十年，常坐在棕櫚樹下聽訟？,底波拉,士師記4:4-5,耶穌在哪座山講論末世的預兆？,橄欖山,馬太福音24:3,「五旬節聖靈降臨，門徒說起別國的話。」出自哪一卷書？,使徒行傳,使徒行傳2:4,約拿被大魚吞吃，上帝預備的海洋生物叫什麼？,大魚,約拿書 1:17,耶穌在才幹比喻中，給三個僕人共幾他連得？,8,馬太福音 25:15
166,誰是摩押女子，成為大衛的曾祖母？,路得,路得記4:17,耶穌在哪座城被孩童稱頌“和散那歸於大衛的子孫”？,耶路撒冷,馬太福音21:15,「如今常存的有信、望、愛這三樣，其中最大的是愛。」出自哪一卷書？,哥林多前書,哥林多前書13:13,保羅在以弗所，信徒焚燒什麼？,書卷,使徒行傳 19:19,以色列人過紅海後，在書珥的曠野走了幾天沒水？,3,出埃及記 15:22
167,誰在該撒利亞接待保羅，有四個說預言的女兒？,腓利,使徒行傳21:8-9,保羅在以弗所時，教會天天增長，那城是？,以弗所,使徒行傳19:20,「尼希米重建耶路撒冷城牆。」出自哪一卷書？,尼希米記,尼希米記2:17,雅各在伯特利用來枕頭並立為柱子的物品是什麼？,石頭,創世記 28:18,摩西舉手禱告打亞瑪力人時，亞倫與戶珥共幾人扶他的手？,2,出埃及記 17:12
168,誰是提摩太的外祖母，從小教他聖經？,羅以,提摩太後書1:5,耶穌在哪座城醫治了百夫長的僕人？,迦百農,馬太福音8:5-13,「耶穌在耶利哥醫治 blind men。」出自哪一卷福音書？,馬太福音,馬太福音20:30-34,保羅在路司得被人當作希耳米神時，群眾牽來獻祭的牲畜是什麼？,公牛,使徒行傳 14:13,十二探子窺探迦南共幾天？,40,民數記 13:25
169,誰見證耶穌是「神的羔羊，除去世人罪孽的」？,施洗約翰,約翰福音1:29,耶穌從小長大的城鎮叫什麼？,拿撒勒,馬太福音2:23,「耶穌在客西馬尼園被捕。」出自哪一卷福音書？,馬太福音,馬太福音26:47-50,以色列人出埃及時，上帝夜間用來引導他們的物品是什麼？,火柱,出埃及記 13:21,以色列人因不信，在曠野漂流幾年？,40,民數記 14:33–34
170,誰對婆婆說：「你的神就是我的神」，後來成為大衛的曾祖母？,路得,路得記1:16,以利亞在何烈山進入山洞聽見神的聲音，那山是？,何烈山,列王紀上19:9-12,「耶穌說：『我是真葡萄樹，你們是枝子。』」出自哪一卷福音書？,約翰福音,約翰福音15:5,上帝吩咐挪亞在方舟頂上造什麼？,透光處,創世記 6:16,利未支派一個月以上的男子共幾人？,22000,民數記 3:39
171,誰為了三十塊錢把耶穌交給宗教領袖？,猶大,馬太福音26:14-16,耶穌在哪座城被猶太領袖審問？,耶路撒冷,馬太福音26:57,「雅各夢見天梯，有天使上去下來。」出自哪一卷書？,創世記,創世記28:12,路加福音中，婦人有十個什麼幣？,銀幣,路加福音 15:8,所羅門為至聖所造了幾個基路伯？,2,列王紀上 6:23
172,誰說：「主若願意，我們就可以活著，也可以做這事或那事」？,雅各,雅各書4:15,保羅在腓立比被棍打後，官員來求他離開，那城是？,腓立比,使徒行傳16:35-39,「耶穌在各各他被釘十字架。」出自哪一卷福音書？,馬太福音,馬太福音27:33-35,耶穌在聖殿潔淨時，趕出賣牛羊鴿子的人，那些鴿子是什麼？,鴿子,約翰福音 2:14,每個基路伯有幾個翅膀？,2,列王紀上 6:27
173,誰因饑荒下埃及，稱妻子為妹子以保命？,亞伯拉罕,創世記12:10-13,保羅在馬耳他島上行神蹟，那島屬於哪個帝國？,馬耳他,使徒行傳28:1-10,「耶穌說：『你們若愛我，就必遵守我的命令。』」出自哪一卷福音書？,約翰福音,約翰福音14:15,耶穌被埋葬時，尼哥底母帶來的香料是什麼？,沒藥,約翰福音 19:39,所羅門聖殿前有幾根銅柱？,2,列王紀上 7:15
174,摩西逃到米甸時，娶了誰的女兒為妻？,葉忒羅,出埃及記2:21,羅得女兒所生的亞捫人住在哪一地區？,亞捫,創世記19:38,「保羅在以弗所，有人把邪術書燒掉。」出自哪一卷書？,使徒行傳,使徒行傳19:19,耶穌在十個童女的比喻中，她們所拿的物體是什麼？,燈,馬太福音 25:7,但以理一日禱告幾次，面向耶路撒冷？,3,但以理書 6:10
175,誰在拿因城外使寡婦的兒子復活？,耶穌,路加福音7:12-15,聖靈在五旬節降臨時，門徒在哪座城？,耶路撒冷,使徒行傳2:5,「耶穌在伯大尼使拉撒路復活。」出自哪一卷福音書？,約翰福音,約翰福音11:43-44,耶穌變水為酒的六口石缸，原是為什麼禮儀預備的？,潔淨,約翰福音 2:6,約伯受試煉後，有幾位朋友來看他？,3,約伯記 2:11
176,「除祂以外，別無拯救。」這話論到誰？,耶穌,使徒行傳4:12,路得和拿俄米離開的摩押地屬於哪一區域？,摩押,路得記1:1,「你們是世上的鹽」，也是什麼？,世上的光,馬太福音5:13-14,耶穌在浪子回頭的比喻中，父親給小兒子戴上的信物是什麼？,戒指,路加福音 15:22,約伯的女兒在全地中被稱為幾位最美貌的？,3,約伯記 42:15
177,誰與妻子逃離所多瑪，但他的妻子回頭變成鹽柱？,羅得,創世記19:15-26,耶穌升天的地點是哪一座山？,橄欖山,使徒行傳1:12,「那美好的仗我已經打過了。」出自哪一卷書？,提摩太後書,提摩太後書4:7,會幕框架所用的包金木板叫什麼？,豎板,出埃及記 26:15,耶穌說：「一個罪人悔改，在天上也要這樣為他歡喜」，勝過幾十個不用悔改的義人？,99,路加福音 15:7
178,誰年老生下以撒，因神信實？,撒拉,創世記21:1-2,保羅在以弗所教導超過兩年，那城在哪一省？,以弗所,使徒行傳19:10,「耶穌說：『你們禱告要這樣說：『我們在天上的父…』」出自哪一卷福音書？,馬太福音,馬太福音6:9,保羅在以弗所，被亞底米崇拜者圍攻時，所喊的女神物體是什麼？,銀龕,使徒行傳 19:24,上帝吩咐挪亞將潔淨的鳥每種帶幾隻進方舟？,7,創世記 7:3
179,誰在聖殿中稱謝神，因見到嬰孩耶穌而得安慰？,西面,路加福音2:25-30,彼得在屋頂上見異象的地點是哪座城？,約帕,使徒行傳10:9-10,「耶穌在提比哩亞海邊向門徒顯現。」出自哪一卷福音書？,約翰福音,約翰福音21:1-14,耶穌在客西馬尼園禱告時，求父撤去的象徵是什麼？,苦杯,馬太福音 26:39,上帝吩咐挪亞將不潔淨的鳥每種帶幾隻進方舟？,2,創世記 7:3
180,耶穌十二門徒中，誰又稱奮銳黨人？,西門,路加福音6:15,以色列人過哪條河進入應許之地？,約旦河,約書亞記3:17,「耶穌說：『所以，凡聽見我這話就去行的，好比聰明人。』」出自哪一卷福音書？,馬太福音,馬太福音7:24,耶穌被釘十字架時，兵丁用來遞酸酒的海綿叫什麼？,海絨,馬太福音 27:48,挪亞出方舟後，共獻上幾種潔淨的飛鳥為燔祭？,1,創世記 8:20
181,誰因嫉妒弟弟的祭物蒙悅納而殺了他？,該隱,創世記4:8,以色列人在曠野漂流四十年，主要在哪裡？,曠野,民數記14:33,「我就是門，凡從我進來的，必然得救。」出自哪一卷書？,約翰福音,約翰福音10:9,上帝讓阿摩司看見什麼果子預表審判？,夏果,阿摩司書 8:1,亞伯拉罕為以撒娶妻，賜僕人幾匹駱駝去米所波大米？,10,創世記 24:10
182,誰看見以利亞乘旋風升天，並繼承雙倍的靈？,以利沙,列王紀下2:9-12,耶穌在哪座城使五千人吃飽？,伯賽大,路加福音9:10,「你們要知道我是神」，在做這事之前要先怎樣？,休息,詩篇46:10,七位天使所拿、盛裝神烈怒的器皿叫什麼？,金碗,啟示錄 15:7,利百加給僕人水喝後，又為他的幾匹駱駝打水？,10,"創世記 24:14, 19"
183,誰在艾城戰敗後，撕裂衣服俯伏在神面前？,約書亞,約書亞記7:6,耶穌在哪座城醫治了耳聾舌結的人？,加利利,馬可福音7:31,「耶穌說：『我是好牧人。』」出自哪一卷福音書？,約翰福音,約翰福音10:11,耶穌在浪子比喻中，父親給為兒的腳穿上什麼？,鞋子,路加福音 15:22,以掃娶了幾位赫人女子為妻？,2,創世記 26:34
184,誰在曠野預備主的道，為祂開路？,施洗約翰,馬太福音3:3,保羅在哥林多住了一年半，那城是？,哥林多,使徒行傳18:11,保羅的職業是什麼？,帳棚匠,使徒行傳18:3,上帝在日間引導以色列人的物體是什麼？,雲柱,出埃及記 13:21,雅各在伯特利夢見天梯，醒來後立石為柱，這是他第幾次立石？,1,創世記 28:18
185,誰是約帕的女徒，以善事聞名，被彼得使復活？,多加,使徒行傳9:36-41,摩西在何處打發探子窺探迦南地？,巴蘭曠野,民數記13:1-3,「愛是不計算人的惡」，還不喜歡什麼？,不義,哥林多前書13:6,上帝在西奈山親手寫下律法的載體是什麼？,石版,出埃及記 31:18,雅各共有幾個兒子？,12,創世記 35:22
186,誰在基拉耳被亞比米勒帶走，因神干預得保？,撒拉,創世記20:2,耶穌在哪個村莊行了第一件神蹟？,迦拿,約翰福音2:1,「耶穌說：『凡好樹都結好果子。』」出自哪一卷福音書？,馬太福音,馬太福音7:17,東方博士獻給耶穌、預表祂受死的香料是什麼？,沒藥,馬太福音 2:11,其中便雅憫出生時，他共有幾個兒子？,11,創世記 35:16–18
187,誰是閃、含、雅弗的父親？,挪亞,創世記9:18,以利亞在何烈山見神顯現，那山是？,何烈山,列王紀上19:11-12,「為義受逼迫的人有福了，因為天國是他們的。」出自哪一卷福音書？,馬太福音,馬太福音5:10,上帝與亞伯拉罕立約時，用什麼動物劈開？,牛,創世記 15:9,約瑟被兄弟剝去彩衣時，共有幾位哥哥在場？,10,"創世記 37:2, 28"
188,誰在別是巴與亞比米勒立約並挖井？,亞伯拉罕,創世記21:25-32,耶穌在哪座城醫治了大臣將死的兒子？,迦拿,約翰福音4:46-53,「我們這至暫至輕的苦楚，要為我們成就極重無比永遠的榮耀。」出自哪一卷書？,哥林多後書,哥林多後書4:17,上帝吩咐用來製作香壇的木材是什麼？,皂莢木,出埃及記 30:1,猶大建議賣他，共得幾舍客勒銀子？,20,創世記 37:28
189,誰在曠野被掃羅追殺，卻兩次饒他性命？,大衛,撒母耳記上24:4-7,約拿從哪個港口坐船想逃離神？,約帕,約拿書1:3,「我們行事為人是憑著信心，不是憑著眼見。」出自哪一卷書？,哥林多後書,哥林多後書5:7,耶利米書中，上帝用什麼好無花果表徵被擄的猶大人？,無花果,耶利米書 24:2,法老立約瑟為宰相時，他幾歲？,30,創世記 41:46
190,挪亞的兒子中，誰是亞伯拉罕的祖先？,閃,創世記10:21-24,保羅去哪座城捉拿信徒時遇見耶穌？,大馬士革,使徒行傳9:2,「彼得說：『要為主的緣故，順服人的一切制度。』」出自哪一卷書？,彼得前書,彼得前書2:13,耶穌被釘時掛在頭上的罪名牌叫什麼？,猶太人的王,約翰福音 19:19,以色列人住在埃及共幾年？,430,出埃及記 12:40
191,誰設計滅絕猶太人，卻被掛在自己造的木架上？,哈曼,以斯帖記7:9-10,哪座城的牆因以色列人繞行七日而倒塌？,耶利哥,約書亞記6:20,「背十字架跟從我」的呼召記在哪幾卷福音書？（答一卷）,馬可福音,馬可福音8:34,會幕庭院柱子底部的金屬基座叫什麼？,銅座,出埃及記 27:10,大衛擊殺歌利亞時，歌利亞的槍頭重幾舍客勒？,600,撒母耳記上 17:7
192,誰在睚魯家說：「不要怕，只要信」？,耶穌,馬可福音5:36,大衛逃避掃羅時藏身的曠野綠洲是哪？,隱基底,撒母耳記上23:29,「聖經都是神所默示的。」出自哪一卷書？,提摩太後書,提摩太後書3:16,安息日擺在神面前的十二個餅叫什麼？,陳設餅,利未記 24:5,歌利亞的盔甲重幾舍客勒？,5000,撒母耳記上 17:5
193,哪位先祖在幔利橡樹那裡接待三位天使？,亞伯拉罕,創世記18:1-8,耶穌在哪座山為門徒禱告？,橄欖山,路加福音22:39,「你們是被揀選的族類，是有君尊的祭司。」出自哪一卷書？,彼得前書,彼得前書2:9,同樣，還有什麼鳥類？,雛鴿,創世記 15:9,以利亞在迦密山，用幾桶水倒在祭物和柴上？,12,列王紀上 18:33–34
194,誰是大祭司，策劃捉拿並殺害耶穌？,該亞法,約翰福音11:49-53,保羅在哪座島上被毒蛇咬卻安然無恙？,馬耳他,使徒行傳28:3-5,「日光之下，並無新事。」出自哪一卷書？,傳道書,傳道書1:9,耶穌被捉拿時，有一個少年人逃跑，他披著什麼？,麻布,馬可福音 14:51,以利亞在迦密山，每次倒幾桶？,4,列王紀上 18:34
195,誰在客西馬尼園禱告順服父旨？,耶穌,馬太福音26:39,以色列人因亞干犯罪而敗於哪座城？,艾城,約書亞記7:5,「不要為明天憂慮。」出自哪一卷福音書？,馬太福音,馬太福音6:34,耶穌在畢士大池醫治癱子時，那人攜帶的 object 是什麼？,褥子,約翰福音 5:11,以利亞在迦密山，共倒幾次？,3,列王紀上 18:34
196,誰是有學問的亞歷山大人，在以弗所傳講耶穌？,亞波羅,使徒行傳18:24,耶穌在哪座城附近的橄欖山常去禱告？,耶路撒冷,路加福音21:37,「你要盡心、盡性、盡力愛耶和華你的神。」出自哪一卷書？,申命記,申命記6:5,約櫃上面兩端所鑄的金製天使形像叫什麼？,基路伯,出埃及記 25:18,以利沙使斧頭浮水，斧頭原屬於幾個人中的一個？,1,列王紀下 6:5
197,誰在曠野擊打磐石，使水流出給百姓喝？,摩西,出埃及記17:6,耶穌在哪座城醫治了三十八年的癱子？,耶路撒冷,約翰福音5:2-9,「猶大勸信徒要為真道竭力爭辯。」出自哪一卷書？,猶大書,猶大書1:3,亞伯拉罕築壇時，用什麼劈開柴？,刀,創世記 22:6,但以理書第七章，有幾隻大獸從海中上來？,4,但以理書 7:3
198,誰是末底改的堂妹，被選入波斯宮中？,以斯帖,以斯帖記2:7,以斯拉在耶路撒冷宣讀律法時，百姓聚集在哪個廣場？,耶路撒冷,尼希米記8:1,「我若能說萬人的方言，並天使的話語，卻沒有愛，我就成了鳴的鑼。」出自哪一卷書？,哥林多前書,哥林多前書13:1,耶穌在撒種比喻中，飛鳥來吃掉什麼？,種子,馬太福音 13:4,禱告時最少達成一致的最低人數要求是多少？,2,馬太福音 18:19
199,誰被稱為「以色列中的一朵百合花」？,所羅門,雅歌2:1,人類建造巴別塔的地點叫什麼？,巴別,創世記11:9,「以賽亞預言：『必有童女懷孕生子，人要稱祂為以馬內利。』」出自哪一卷書？,以賽亞書,以賽亞書7:14,以利亞被接升天時所乘的火馬車叫什麼？,火車,列王紀下 2:11,上帝吩咐摩西數點以色列人時，凡二十歲以上能出去打仗的，共多少支派被數點？,12,民數記 1:2–3
200,誰夢見天梯，有天使上去下來？,雅各,創世記28:12,以利亞在迦密山降火後，跑去哪座城？,別是巴,列王紀上19:3,「神愛世人」，甚至將祂的獨生子賜給他們，目的是什麼？,不滅亡,約翰福音3:16,耶穌在客西馬尼園極其傷痛，汗珠如什麼滴在地上？,血點,路加福音 22:44,利未支派被分別出來不參與數點，他們被指派看守會幕，共有幾個宗族？,3,民數記 3:17